danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.29,0.105,5.0,-24.769,0.0,0.0424,0.866,0.564,0.0901,0.0325,69.285,audio_features,15p0b3cJkJZm43QGl2gDsP,spotify:track:15p0b3cJkJZm43QGl2gDsP,https://api.spotify.com/v1/tracks/15p0b3cJkJZm43QGl2gDsP,https://api.spotify.com/v1/audio-analysis/15p0b3cJkJZm43QGl2gDsP,189323.0,3.0
0.648,0.834,9.0,-7.158,0.0,0.0492,0.0327,0.142,0.0586,0.748,121.31,audio_features,1sKqP1RUuqQZHGNp0C1kJJ,spotify:track:1sKqP1RUuqQZHGNp0C1kJJ,https://api.spotify.com/v1/tracks/1sKqP1RUuqQZHGNp0C1kJJ,https://api.spotify.com/v1/audio-analysis/1sKqP1RUuqQZHGNp0C1kJJ,209227.0,4.0
0.58,0.854,5.0,-8.516,0.0,0.175,0.00371,0.18,0.119,0.177,127.091,audio_features,6YcfAU2P3KETyULHliTWXn,spotify:track:6YcfAU2P3KETyULHliTWXn,https://api.spotify.com/v1/tracks/6YcfAU2P3KETyULHliTWXn,https://api.spotify.com/v1/audio-analysis/6YcfAU2P3KETyULHliTWXn,209080.0,4.0
0.428,0.87,11.0,-6.475,0.0,0.0603,0.456,0.0136,0.134,0.597,118.298,audio_features,0ZST9shTPfs6mO5ANB6kNG,spotify:track:0ZST9shTPfs6mO5ANB6kNG,https://api.spotify.com/v1/tracks/0ZST9shTPfs6mO5ANB6kNG,https://api.spotify.com/v1/audio-analysis/0ZST9shTPfs6mO5ANB6kNG,651133.0,4.0
0.469,0.649,5.0,-8.45,0.0,0.0311,0.000936,0.47,0.144,0.696,125.174,audio_features,26sLRGYCSYSnK0cJVtcCAf,spotify:track:26sLRGYCSYSnK0cJVtcCAf,https://api.spotify.com/v1/tracks/26sLRGYCSYSnK0cJVtcCAf,https://api.spotify.com/v1/audio-analysis/26sLRGYCSYSnK0cJVtcCAf,357173.0,4.0
0.423,0.953,9.0,-5.587,1.0,0.06,0.00322,0.00948,0.0661,0.613,111.53,audio_features,5RIqqdVaKlzXgVAzYIvGVP,spotify:track:5RIqqdVaKlzXgVAzYIvGVP,https://api.spotify.com/v1/tracks/5RIqqdVaKlzXgVAzYIvGVP,https://api.spotify.com/v1/audio-analysis/5RIqqdVaKlzXgVAzYIvGVP,274813.0,4.0
0.16,0.195,5.0,-18.899,0.0,0.0471,0.632,0.937,0.155,0.0299,101.338,audio_features,1FUgvjxmuYLhr3n3If07rT,spotify:track:1FUgvjxmuYLhr3n3If07rT,https://api.spotify.com/v1/tracks/1FUgvjxmuYLhr3n3If07rT,https://api.spotify.com/v1/audio-analysis/1FUgvjxmuYLhr3n3If07rT,154538.0,4.0
0.677,0.332,7.0,-17.022,0.0,0.0488,0.346,0.00246,0.188,0.643,138.895,audio_features,29YjHuMRqoUT1ePJDw63X8,spotify:track:29YjHuMRqoUT1ePJDw63X8,https://api.spotify.com/v1/tracks/29YjHuMRqoUT1ePJDw63X8,https://api.spotify.com/v1/audio-analysis/29YjHuMRqoUT1ePJDw63X8,237840.0,4.0
0.522,0.86,1.0,-5.158,1.0,0.0348,0.3,0.895,0.393,0.961,132.234,audio_features,5B03J9O5CTZDrfXJnwNAPs,spotify:track:5B03J9O5CTZDrfXJnwNAPs,https://api.spotify.com/v1/tracks/5B03J9O5CTZDrfXJnwNAPs,https://api.spotify.com/v1/audio-analysis/5B03J9O5CTZDrfXJnwNAPs,168693.0,4.0
0.785,0.533,0.0,-10.627,1.0,0.0615,0.855,0.592,0.11,0.449,124.918,audio_features,30PrZCK35q91CDCcmrbj8h,spotify:track:30PrZCK35q91CDCcmrbj8h,https://api.spotify.com/v1/tracks/30PrZCK35q91CDCcmrbj8h,https://api.spotify.com/v1/audio-analysis/30PrZCK35q91CDCcmrbj8h,232027.0,4.0
0.544,0.338,1.0,-9.624,1.0,0.0586,0.0437,0.021,0.343,0.28,138.016,audio_features,3s9cNgAYYh3jK4ZLbAPruH,spotify:track:3s9cNgAYYh3jK4ZLbAPruH,https://api.spotify.com/v1/tracks/3s9cNgAYYh3jK4ZLbAPruH,https://api.spotify.com/v1/audio-analysis/3s9cNgAYYh3jK4ZLbAPruH,307970.0,4.0
0.269,0.762,2.0,-7.843,1.0,0.0421,0.0111,0.00018,0.276,0.141,145.271,audio_features,3LlK6EuOcnAoZoaqDv8sME,spotify:track:3LlK6EuOcnAoZoaqDv8sME,https://api.spotify.com/v1/tracks/3LlK6EuOcnAoZoaqDv8sME,https://api.spotify.com/v1/audio-analysis/3LlK6EuOcnAoZoaqDv8sME,303281.0,4.0
0.304,0.317,11.0,-9.412,1.0,0.0282,0.0857,0.657,0.1,0.169,89.153,audio_features,2pFNHjuZpdfZdvXVDKbcTH,spotify:track:2pFNHjuZpdfZdvXVDKbcTH,https://api.spotify.com/v1/tracks/2pFNHjuZpdfZdvXVDKbcTH,https://api.spotify.com/v1/audio-analysis/2pFNHjuZpdfZdvXVDKbcTH,289627.0,4.0
0.574,0.0957,3.0,-17.834,0.0,0.0371,0.953,0.0833,0.11,0.439,109.295,audio_features,4Uv1YSLlzoDDT1b9POPZ8a,spotify:track:4Uv1YSLlzoDDT1b9POPZ8a,https://api.spotify.com/v1/tracks/4Uv1YSLlzoDDT1b9POPZ8a,https://api.spotify.com/v1/audio-analysis/4Uv1YSLlzoDDT1b9POPZ8a,127693.0,4.0
0.565,0.621,11.0,-7.03,0.0,0.039,0.288,0.174,0.0887,0.354,169.936,audio_features,1pIeEWK9jvhDPJtpeXaLwB,spotify:track:1pIeEWK9jvhDPJtpeXaLwB,https://api.spotify.com/v1/tracks/1pIeEWK9jvhDPJtpeXaLwB,https://api.spotify.com/v1/audio-analysis/1pIeEWK9jvhDPJtpeXaLwB,227773.0,5.0
0.45,0.256,11.0,-14.148,1.0,0.0261,0.857,0.0143,0.106,0.293,86.965,audio_features,0ZaJPhvrazUn6AwvhSSKOj,spotify:track:0ZaJPhvrazUn6AwvhSSKOj,https://api.spotify.com/v1/tracks/0ZaJPhvrazUn6AwvhSSKOj,https://api.spotify.com/v1/audio-analysis/0ZaJPhvrazUn6AwvhSSKOj,171720.0,4.0
0.621,0.834,1.0,-11.339,0.0,0.112,0.152,0.757,0.403,0.0395,120.012,audio_features,4nEJ4O435WvJvgZKdOPWMM,spotify:track:4nEJ4O435WvJvgZKdOPWMM,https://api.spotify.com/v1/tracks/4nEJ4O435WvJvgZKdOPWMM,https://api.spotify.com/v1/audio-analysis/4nEJ4O435WvJvgZKdOPWMM,329924.0,3.0
0.633,0.448,6.0,-10.412,1.0,0.0488,0.805,0.0358,0.186,0.512,87.004,audio_features,0spLUItceTHNw86n0qQg4q,spotify:track:0spLUItceTHNw86n0qQg4q,https://api.spotify.com/v1/tracks/0spLUItceTHNw86n0qQg4q,https://api.spotify.com/v1/audio-analysis/0spLUItceTHNw86n0qQg4q,208053.0,4.0
0.709,0.422,11.0,-9.177,1.0,0.113,0.0385,0.478,0.111,0.108,82.964,audio_features,7BWyFa7hnm2D31CVydyUMl,spotify:track:7BWyFa7hnm2D31CVydyUMl,https://api.spotify.com/v1/tracks/7BWyFa7hnm2D31CVydyUMl,https://api.spotify.com/v1/audio-analysis/7BWyFa7hnm2D31CVydyUMl,242091.0,4.0
0.565,0.701,5.0,-4.098,1.0,0.0445,0.144,0.0,0.125,0.421,150.9,audio_features,6OiBO4Dv9AB8M1DmS9oR8M,spotify:track:6OiBO4Dv9AB8M1DmS9oR8M,https://api.spotify.com/v1/tracks/6OiBO4Dv9AB8M1DmS9oR8M,https://api.spotify.com/v1/audio-analysis/6OiBO4Dv9AB8M1DmS9oR8M,207911.0,4.0
0.583,0.848,6.0,-4.935,1.0,0.0354,0.000118,0.735,0.114,0.686,106.99,audio_features,5FfT45gDQWDyR8lZpn60DD,spotify:track:5FfT45gDQWDyR8lZpn60DD,https://api.spotify.com/v1/tracks/5FfT45gDQWDyR8lZpn60DD,https://api.spotify.com/v1/audio-analysis/5FfT45gDQWDyR8lZpn60DD,215240.0,4.0
0.471,0.895,8.0,-3.074,1.0,0.0364,2.07e-05,0.111,0.0961,0.14,160.031,audio_features,1PGlEdsnTKKApbAo15QftI,spotify:track:1PGlEdsnTKKApbAo15QftI,https://api.spotify.com/v1/tracks/1PGlEdsnTKKApbAo15QftI,https://api.spotify.com/v1/audio-analysis/1PGlEdsnTKKApbAo15QftI,165253.0,4.0
0.497,0.641,2.0,-7.168,1.0,0.0366,0.218,0.00109,0.149,0.11,149.01,audio_features,73iWf3dFe1YpRbP590SvGQ,spotify:track:73iWf3dFe1YpRbP590SvGQ,https://api.spotify.com/v1/tracks/73iWf3dFe1YpRbP590SvGQ,https://api.spotify.com/v1/audio-analysis/73iWf3dFe1YpRbP590SvGQ,216672.0,4.0
0.467,0.825,2.0,-6.782,1.0,0.052,0.0533,0.0026,0.343,0.491,150.989,audio_features,0XriitxSuRgyPCeweoWjwi,spotify:track:0XriitxSuRgyPCeweoWjwi,https://api.spotify.com/v1/tracks/0XriitxSuRgyPCeweoWjwi,https://api.spotify.com/v1/audio-analysis/0XriitxSuRgyPCeweoWjwi,233307.0,4.0
0.601,0.499,8.0,-6.795,1.0,0.0342,0.153,6.48e-06,0.265,0.402,94.869,audio_features,0gAIwOfM8em0PGpzqJKK1U,spotify:track:0gAIwOfM8em0PGpzqJKK1U,https://api.spotify.com/v1/tracks/0gAIwOfM8em0PGpzqJKK1U,https://api.spotify.com/v1/audio-analysis/0gAIwOfM8em0PGpzqJKK1U,213000.0,4.0
0.62,0.675,7.0,-6.774,1.0,0.0243,0.00275,0.72,0.189,0.161,100.0,audio_features,12cYNjMCBJDCHZcGJUG60B,spotify:track:12cYNjMCBJDCHZcGJUG60B,https://api.spotify.com/v1/tracks/12cYNjMCBJDCHZcGJUG60B,https://api.spotify.com/v1/audio-analysis/12cYNjMCBJDCHZcGJUG60B,236400.0,4.0
