id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4a4tZ0GtinkCmIwdqWg82Y,Minimalism,Thrill Gates,13,2002,0.606,0.925,2,-2.898,1,0.176,0.0,0.0813,0.692,94.655,213160,4
1r3JvQ6JzLpkfP6weJ6bK3,High School Never Ends,Mykki Blanco,18,2016-09-16,0.475,0.549,11,-7.936,0,0.111,0.00125,0.215,0.114,130.167,332240,4
4NKdG9lTVjK8R9HfZQkTmk,Iron Galaxy,Cannibal Ox,39,2013-12-03,0.539,0.937,9,-3.14,1,0.489,0.0,0.0723,0.523,85.037,356800,4
4Qd1iRTWZLyxE4I8XN0KTi,Pigeon,Cannibal Ox,30,2013-12-03,0.599,0.883,10,-4.865,0,0.424,5.79e-06,0.12,0.209,87.059,370107,4
5hV5cJP8Xri5pUSAA0MJGR,Ox out the Cage,Cannibal Ox,28,2013-12-03,0.593,0.805,1,-4.96,1,0.422,0.0,0.701,0.946,87.744,208960,4
6GV72kkZvNnjLHPjRtIyh9,Atom,Cryptic,24,2013-12-03,0.528,0.688,9,-5.561,0,0.204,0.0,0.0569,0.683,171.613,352240,4
5u4WEM0DwIcYd6TU7wzS8v,Raspberry Fields,Cannibal Ox,24,2013-12-03,0.41,0.895,10,-5.87,0,0.00456,1.37e-06,0.0724,0.443,66.853,241693,4
1Pbs2eCcX9p2onaAvMYvhk,Bodys,Car Seat Headrest,59,2018-02-16,0.518,0.843,2,-7.361,1,0.00136,0.0119,0.132,0.249,143.903,406935,4
7J70PepsxT1rrZyqsAjIWX,Snow Beach,RATKING,31,2014-04-07,0.258,0.969,5,-1.672,0,0.00347,4.29e-05,0.628,0.473,175.826,402688,4
4E16oyd1iGXunYZxMj6YNy,Deep Space 9mm,El-P,38,2002,0.523,0.932,5,-4.995,1,0.0193,1.56e-05,0.1,0.626,113.721,227133,4
5YlTznWwDPg9HcIQlBMO17,Human Bog,Baths,21,2017-11-17,0.566,0.503,9,-9.862,1,0.812,0.0312,0.352,0.375,90.285,263345,4
5ZVX8SPn5OEeNEz68Isc16,I Can Wait,Low,30,2021-09-10,0.694,0.459,0,-6.501,1,0.763,0.000406,0.235,0.112,120.006,242354,4
3SpJgJZtyprhDxA10MWtbe,Delorean,ILL BILL,26,2002,0.52,0.945,11,-4.732,0,0.283,0.0,0.0612,0.608,84.123,333493,4
1cQ1IbRhnekU0aMGSlsQj1,Dirty Disco,Section 25,25,1981,0.632,0.643,8,-11.996,1,3.24e-05,0.532,0.0921,0.61,139.114,319840,4
59NvNhgX7qtGD1Q9WNhTql,Youlogy,Shabazz Palaces,22,2011-06-28,0.386,0.451,11,-13.26,0,0.0192,0.0153,0.287,0.194,78.529,238587,4
1zOtStOZd9nvnFiRM5Namm,Salute 2 el Chapo,Dj Smokey,22,2013-09-27,0.567,0.476,5,-9.325,1,0.0191,0.0424,0.337,0.202,119.844,310204,4
3mapLHLwTAngE9QhHGHwlY,Bringing the Phonk,SpaceGhostPurrp,24,2012-06-11,0.563,0.827,5,-4.965,1,0.036,0.0,0.144,0.508,142.003,190520,5
5NIrChwN4QRg8sGrFalgMU,Lost,Zola Jesus,38,2022-06-24,0.581,0.7,1,-9.646,0,0.127,0.31,0.112,0.344,144.971,204262,4
73anCuAV8JMOF8Xclf8rmL,Gimmiesumdeath,Leak Bros,19,2004-06-20,0.584,0.963,0,-5.876,1,0.0779,0.0,0.233,0.571,92.326,254587,4
