id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2fXwCWkh6YG5zU1IyvQrbs,Broken Clocks,SZA,81,2017-06-09,0.692,0.684,6,-7.364,1,0.131,0.0,0.156,0.406,112.912,231253,4
3LcoHjgdNl4xtWVaJGSA1p,Wavy (Interlude) (feat. James Fauntleroy),James Fauntleroy,61,2017-06-09,0.629,0.509,0,-8.1,0,0.475,0.0,0.0727,0.389,78.99,75800,1
1IgePMOW0qEe1AViWgkal9,Pretty Little Birds (feat. Isaiah Rashad),Isaiah Rashad,63,2017-06-09,0.362,0.518,1,-7.687,1,0.223,0.00314,0.316,0.348,89.667,245947,4
5M0cTTV7Y2YBy7k0Z51roC,Country Figs,Alex Cameron,0,2017-09-08,0.709,0.84,1,-7.323,1,0.0533,0.0667,0.112,0.829,114.014,251481,4
43I1zWXa5xN5z6dEcIDfHv,Runnin' Outta Luck,Brandon Flowers,0,2017-09-08,0.75,0.826,7,-5.414,1,0.208,0.0,0.18,0.905,116.995,231310,4
2qxFcNpTIXrCHelPxnzdTs,True Lies,Alex Cameron,0,2017-09-08,0.607,0.843,10,-6.81,1,0.00702,0.000191,0.151,0.904,108.035,232788,4
0OW3HVvCZBTh4MxYUEgEUn,Marlon Brando,Alex Cameron,0,2017-09-08,0.672,0.773,8,-5.55,1,0.289,0.0,0.0644,0.821,120.083,284072,4
30iJ65cgv0xm9mnLt8yhsu,So I'm Growing Old on Magic Mountain,Father John Misty,0,2017-04-07,0.357,0.171,5,-13.051,1,0.721,0.00155,0.137,0.0819,107.846,598269,4
071Ot97VZzdwYkiyD12QQK,A Bigger Paper Bag,Father John Misty,0,2017-04-07,0.511,0.472,0,-8.533,0,0.614,1.69e-05,0.101,0.251,108.865,281761,3
5lbCjKgdT9pvYjrtmSiRvL,HOTTIE,BROCKHAMPTON,52,2017-12-15,0.856,0.712,1,-6.355,0,0.163,0.0312,0.123,0.774,128.994,197148,4
